x,y,z
-142.2128143310547,91.96694946289062,0
-142.2128143310547,91.96694946289062,0
-78.57582092285156,91.96694946289062,0
-78.57582092285156,91.96694946289062,0
-78.39241027832031,91.96233367919922,0
-78.21139526367188,91.9486312866211,0
-78.03298950195312,91.92606353759766,0
-77.857421875,91.89485931396484,0
-77.68492126464844,91.85523986816406,0
-77.51571655273438,91.80743408203125,0
-77.35002136230469,91.75165557861328,0
-77.18806457519531,91.6881332397461,0
-77.03008270263672,91.6170883178711,0
-76.87628173828125,91.53874969482422,0
-76.7269058227539,91.4533462524414,0
-76.58216094970703,91.361083984375,0
-76.44229125976562,91.26219940185547,0
-76.30751037597656,91.15691375732422,0
-76.17803955078125,91.04544830322266,0
-76.05412292480469,90.92803192138672,0
-75.93595886230469,90.80488586425781,0
-75.82379150390625,90.67623138427734,0
-75.71784973144531,90.54228973388672,0
-75.61833953857422,90.40328979492188,0
-75.52549743652344,90.25946044921875,0
-75.43954467773438,90.11101531982422,0
-75.3607177734375,89.95818328857422,0
-75.28922271728516,89.80118560791016,0
-75.22530364990234,89.64024353027344,0
-75.16917419433594,89.4755859375,0
-75.12106323242188,89.30744171142578,0
-75.08119201660156,89.13601684570312,0
-75.04979705810547,88.96155548095703,0
-75.02708435058594,88.78427124023438,0
-75.01329803466797,88.60438537597656,0
-75.00865173339844,88.422119140625,0
-75.00865173339844,88.422119140625,0
-75.00865173339844,81.17044067382812,0
-75.00865173339844,81.17044067382812,0
-73.712158203125,65.65139770507812,0
-73.712158203125,65.65140533447266,0
-73.712158203125,21.321388244628906,0
-73.71215057373047,21.321388244628906,0
-73.712158203125,5.072593688964844,0
-73.712158203125,5.072593688964844,0
-73.712158203125,-27.801223754882812,0
-73.712158203125,-27.801223754882812,0
-73.64436340332031,-29.545089721679688,0
